Day,Cumulative
1,12022
3,12515
4,12954
5,13398
7,15510
10,17410
12,19273
14,21940
17,25288
19,27737
20,28774
21,29669
24,35928
26,39620
28,44287
31,52160
33,55867
35,59814
38,70832
40,77201
42,89921
45,94512
