Day,Cumulative
7,20
14,42
21,73
28,109
35,187
42,250
49,306
56,361
63,422
70,469
77,520
84,556
91,642
98,725
105,818
112,947
119,1071
126,1154
133,1208
140,1292
147,1361
154,1494
161,1583
168,1656
175,1700
182,1719
189,1731
196,1742
203,1760
210,1784
217,1820
224,1878
231,1937
238,2000
245,2059
252,2083
259,2112
266,2131
273,2150
280,2171
287,2209
294,2244
301,2267
308,2288
315,2305
322,2319
329,2343
336,2361
343,2370
350,2390
357,2419
364,2441
371,2447
